ProductID,ProductName,ProductGroupID,Price,StockQuantity,Description,Manufacturer,WarrantyPeriod,ReleaseDate,SKU,Weight,Dimensions
186,Perhaps,1,17.81,808,Power impact sound size popular part whose sea enjoy despite.,Oneal Group,1 years,2022-03-31,qt-74578769,37.9,38x47x27 cm
187,Generation,19,15.74,599,Structure experience court foot possible wonder candidate do moment opportunity room.,Williams Ltd,1 years,2024-05-30,sy-72509206,249.66,18x20x47 cm
188,Garden,1,51.86,942,Attorney company realize mother peace soon international threat.,"Allen, Sanchez and Hoffman",1 years,2021-08-11,dW-15874599,112.11,30x48x32 cm
189,View,19,42.46,571,Benefit north clearly especially follow edge across bag visit bad involve best.,Fernandez LLC,1 years,2020-04-03,nh-02052085,317.66,42x25x17 cm
190,Trouble,20,39.39,403,Make range necessary role effect stop day woman political prevent nor remain minute.,"Berg, Beltran and Stevens",5 years,2021-07-12,Zk-24180007,575.01,12x31x6 cm
191,Step,18,31.59,77,Interesting why me too computer movement off become remain future.,Zavala-Villa,5 years,2023-07-28,No-07253859,79.41,5x38x17 cm
192,Democrat,6,74.97,905,Along box herself tax can nothing two according here peace institution me follow.,Nelson-Foster,4 years,2022-04-12,yr-83259524,30.09,28x10x17 cm
193,Nice,5,30.72,467,Office majority long fine sure western.,"Nichols, Rogers and Lynch",4 years,2024-04-28,MX-68387548,216.51,47x19x6 cm
194,Budget,17,34.02,853,Born year small eat threat per moment nearly money table include point old.,Jones-Perez,3 years,2022-03-25,Go-19925651,834.31,43x35x10 cm
195,Blue,4,50.02,237,Anyone image technology article memory five animal head seem crime never carry.,Roberson Inc,3 years,2021-04-11,on-58136817,86.9,11x9x25 cm
196,Ask,13,36.24,940,Send such kitchen your be travel wall part others evidence fact account enough.,"Robinson, Guerrero and Weaver",1 years,2020-04-20,TK-39578054,308.58,5x48x47 cm
197,Decade,17,37.31,911,Decade glass upon success recognize create such lot reflect dark.,"Brooks, Padilla and Crawford",2 years,2023-01-22,qF-39512000,47.03,15x19x36 cm
198,Much,17,15.8,87,Glass message west glass its opportunity at mother visit weight open year.,"Jones, Vasquez and Rowe",5 years,2022-02-11,Yb-21180806,44.94,32x18x23 cm
199,Four,2,3.81,419,Fine bill generation practice between law although administration provide.,"Willis, Adams and Adams",3 years,2021-11-01,sm-08886442,605.82,14x18x48 cm
200,International,2,73.46,944,Employee training break space moment although child officer surface discussion understand.,"Mitchell, Welch and Frazier",5 years,2021-04-25,JB-38140445,100.41,30x14x14 cm
